target,regime,sample_rate_hz,taps,fft_size,phase_mix,phase_delay_samples,tolerance_db,relative_magnitude_error,rms_magnitude_error_db,max_magnitude_error_db,mean_group_delay,group_delay_ripple,constraint_violation
room-correction,factorisation,48000,129,1024,,4,,0.000461533929,0.0306109349,0.349591818,4.5020818,1.2198869,
room-correction,factorisation,48000,129,1024,,8,,0.000666779889,0.0425577697,0.461912971,8.50236121,1.22145748,
room-correction,factorisation,48000,129,1024,,12,,0.00085622529,0.0556363147,0.670993111,12.5031084,1.22564366,
room-correction,factorisation,48000,129,1024,,16,,0.00131426496,0.079509889,0.907117778,16.5033986,1.22653374,
room-correction,factorisation,48000,129,1024,,20,,0.00162344746,0.102007999,1.03804567,20.5035768,1.22012406,
room-correction,factorisation,48000,129,1024,,24,,0.0016706554,0.103218896,1.06557292,24.5042118,1.2189885,
room-correction,factorisation,48000,129,1024,,28,,0.00302152652,0.149673207,1.52631588,28.5075928,1.21529626,
room-correction,factorisation,48000,129,1024,,32,,0.00330439946,0.169620352,1.71931938,32.5100165,1.22558507,
room-correction,factorisation,48000,129,1024,,36,,0.00437424009,0.198633176,1.99849518,36.5136664,1.21874669,
room-correction,factorisation,48000,129,1024,,40,,0.00547652436,0.23704788,2.43128046,40.5187206,1.18120367,
room-correction,factorisation,48000,129,1024,,44,,0.00817730943,0.284335826,2.6551265,44.49595,1.14370941,
room-correction,factorisation,48000,129,1024,,48,,0.013512839,0.436821208,3.95562307,48.4771312,0.963510705,
room-correction,factorisation,48000,129,1024,,52,,0.0192421011,0.538282396,4.60735635,52.464272,0.891216186,
room-correction,factorisation,48000,129,1024,,56,,0.0166317827,0.417987701,3.61135268,56.4536426,0.826174662,
room-correction,factorisation,48000,129,1024,,60,,0.0103039071,0.372194231,3.37833791,60.4988034,0.83945783,
room-correction,factorisation,48000,129,1024,,64,,0.00331205022,0.19705397,2.01230681,64,6.9313352e-14,
room-correction,floor-probe,48000,129,1024,,,0.25,0.00656673521,0.0770400421,0.257389298,0.465879195,1.14423279,1.28227613e-05
room-correction,floor-probe,48000,129,1024,,,0.5,0.014690522,0.168820592,0.530458378,0.423030959,1.15767664,0
room-correction,floor-probe,48000,129,1024,,,1,0.0373228291,0.395842251,1.13033687,0.323461871,1.39593334,3.84413313e-05
room-correction,floor-probe,48000,129,1024,,,2,0.0863192493,0.90065957,2.60306882,0.100309377,2.45287033,0.000112013356
steep-crossover,continuum,48000,129,1024,0,,,0.0122688845,54.9336354,66.470457,49.3696112,4.26932064,
steep-crossover,continuum,48000,129,1024,0.125,,,0.0129605028,54.8245283,67.5549724,51.2041358,3.75884267,
steep-crossover,continuum,48000,129,1024,0.25,,,0.0135880335,54.4833723,67.7900165,53.0365703,3.23457014,
steep-crossover,continuum,48000,129,1024,0.375,,,0.0140485857,53.8833254,67.3867097,54.8670117,2.70210051,
steep-crossover,continuum,48000,129,1024,0.5,,,0.0143908484,52.9877815,66.4066848,56.6956988,2.16489372,
steep-crossover,continuum,48000,129,1024,0.625,,,0.0146995348,51.7408038,64.7700747,58.5229707,1.62507843,
steep-crossover,continuum,48000,129,1024,0.75,,,0.0150125359,50.0528631,62.9728376,60.349203,1.08390748,
steep-crossover,continuum,48000,129,1024,0.875,,,0.0152827357,47.7860941,62.1000592,62.1747646,0.542083397,
steep-crossover,continuum,48000,129,1024,1,,,0.0153970423,45.1015079,61.828118,64,2.27737743e-14,
steep-crossover,continuum,48000,129,1024,1.125,,,0.0152827357,47.7860941,62.1000592,65.8252354,0.542083397,
steep-crossover,continuum,48000,129,1024,1.25,,,0.0150125359,50.0528631,62.9728376,67.650797,1.08390748,
steep-crossover,continuum,48000,129,1024,1.375,,,0.0146995348,51.7408038,64.7700747,69.4770293,1.62507843,
steep-crossover,continuum,48000,129,1024,1.5,,,0.0143908484,52.9877815,66.4066848,71.3043012,2.16489372,
steep-crossover,continuum,48000,129,1024,1.625,,,0.0140485857,53.8833254,67.3867097,73.1329883,2.70210051,
steep-crossover,continuum,48000,129,1024,1.75,,,0.0135880335,54.4833723,67.7900165,74.9634297,3.23457014,
