target,method,sample_rate_hz,taps,fft_size,phase_delay_samples,sample_index,peak_index,peak_aligned_index,coefficient,normalised_coefficient
crossover,phase-interpolation,48000,129,1024,16,25,23,2,0.082533639,0.932108867
crossover,phase-interpolation,48000,129,1024,16,26,23,3,0.0758617752,0.856758944
crossover,phase-interpolation,48000,129,1024,16,27,23,4,0.0676110496,0.763577853
crossover,phase-interpolation,48000,129,1024,16,28,23,5,0.0584251967,0.65983573
crossover,phase-interpolation,48000,129,1024,16,29,23,6,0.0488890933,0.552137988
crossover,phase-interpolation,48000,129,1024,16,30,23,7,0.0394949125,0.446043075
crossover,phase-interpolation,48000,129,1024,16,31,23,8,0.0306323214,0.345951769
crossover,phase-interpolation,48000,129,1024,16,32,23,9,0.0225821063,0.255035181
crossover,phase-interpolation,48000,129,1024,16,33,23,10,0.0155254811,0.175339883
crossover,phase-interpolation,48000,129,1024,16,34,23,11,0.00955273812,0.107885609
crossover,phase-interpolation,48000,129,1024,16,35,23,12,0.00468079091,0.0528633751
crossover,phase-interpolation,48000,129,1024,16,36,23,13,0.000866948109,0.00979103829
crossover,phase-interpolation,48000,129,1024,16,37,23,14,-0.00197298289,-0.022282246
crossover,phase-interpolation,48000,129,1024,16,38,23,15,-0.00395195798,-0.044632166
crossover,phase-interpolation,48000,129,1024,16,39,23,16,-0.00519715981,-0.0586950824
crossover,phase-interpolation,48000,129,1024,16,40,23,17,-0.00584111317,-0.0659676884
crossover,phase-interpolation,48000,129,1024,16,41,23,18,-0.00601205553,-0.0678982575
crossover,phase-interpolation,48000,129,1024,16,42,23,19,-0.00582939772,-0.0658353778
crossover,phase-interpolation,48000,129,1024,16,43,23,20,-0.00539861114,-0.0609702101
crossover,phase-interpolation,48000,129,1024,16,44,23,21,-0.00481025302,-0.0543254793
crossover,phase-interpolation,48000,129,1024,16,45,23,22,-0.00413818651,-0.0467353723
crossover,phase-interpolation,48000,129,1024,16,46,23,23,-0.00344093299,-0.0388608111
crossover,phase-interpolation,48000,129,1024,16,47,23,24,-0.0027618996,-0.0311920223
crossover,phase-interpolation,48000,129,1024,16,48,23,25,-0.00213187411,-0.0240767133
crossover,phase-interpolation,48000,129,1024,16,49,23,26,-0.00157015297,-0.0177328121
crossover,phase-interpolation,48000,129,1024,16,50,23,27,-0.00108728851,-0.0122794933
crossover,phase-interpolation,48000,129,1024,16,51,23,28,-0.000686362058,-0.00775155643
crossover,phase-interpolation,48000,129,1024,16,52,23,29,-0.000365442431,-0.00412719146
crossover,phase-interpolation,48000,129,1024,16,53,23,30,-0.000118590148,-0.0013393197
crossover,phase-interpolation,48000,129,1024,16,54,23,31,6.22145755e-05,0.000702631778
crossover,phase-interpolation,48000,129,1024,16,55,23,32,0.00018648833,0.00210614034
crossover,phase-interpolation,48000,129,1024,16,56,23,33,0.000263880532,0.00298018343
crossover,phase-interpolation,48000,129,1024,16,57,23,34,0.000303996494,0.00343324044
crossover,phase-interpolation,48000,129,1024,16,58,23,35,0.000315514186,0.00356331763
crossover,phase-interpolation,48000,129,1024,16,59,23,36,0.000306318039,0.00345945924
crossover,phase-interpolation,48000,129,1024,16,60,23,37,0.000282968019,0.00319575149
crossover,phase-interpolation,48000,129,1024,16,61,23,38,0.000251026531,0.0028350144
crossover,phase-interpolation,48000,129,1024,16,62,23,39,0.00021475264,0.00242534853
crossover,phase-interpolation,48000,129,1024,16,63,23,40,0.000177517609,0.00200482785
crossover,phase-interpolation,48000,129,1024,16,64,23,41,0.000141622001,0.00159943418
crossover,phase-interpolation,48000,129,1024,16,65,23,42,0.000108723612,0.00122789015
crossover,phase-interpolation,48000,129,1024,16,66,23,43,7.97072643e-05,0.000900188683
crossover,phase-interpolation,48000,129,1024,16,67,23,44,5.50789808e-05,0.000622044624
crossover,phase-interpolation,48000,129,1024,16,68,23,45,3.48476905e-05,0.000393558816
crossover,phase-interpolation,48000,129,1024,16,69,23,46,1.88643583e-05,0.000213048109
crossover,phase-interpolation,48000,129,1024,16,70,23,47,6.69711829e-06,7.563514e-05
crossover,phase-interpolation,48000,129,1024,16,71,23,48,-2.08870428e-06,-2.35891669e-05
crossover,phase-interpolation,48000,129,1024,16,72,23,49,-8.06619268e-06,-9.10970341e-05
crossover,phase-interpolation,48000,129,1024,16,73,23,50,-1.17201117e-05,-0.000132363243
crossover,phase-interpolation,48000,129,1024,16,74,23,51,-1.35898356e-05,-0.000153479314
crossover,phase-interpolation,48000,129,1024,16,75,23,52,-1.40859266e-05,-0.000159082009
crossover,phase-interpolation,48000,129,1024,16,76,23,53,-1.36342497e-05,-0.000153980913
crossover,phase-interpolation,48000,129,1024,16,77,23,54,-1.25254039e-05,-0.000141457959
crossover,phase-interpolation,48000,129,1024,16,78,23,55,-1.10540478e-05,-0.000124840927
crossover,phase-interpolation,48000,129,1024,16,79,23,56,-9.39224524e-06,-0.000106073053
crossover,phase-interpolation,48000,129,1024,16,80,23,57,-7.71955742e-06,-8.71822448e-05
crossover,phase-interpolation,48000,129,1024,16,81,23,58,-6.11359651e-06,-6.90450292e-05
crossover,phase-interpolation,48000,129,1024,16,82,23,59,-4.66831169e-06,-5.27224387e-05
crossover,phase-interpolation,48000,129,1024,16,83,23,60,-3.39721655e-06,-3.83670914e-05
crossover,phase-interpolation,48000,129,1024,16,84,23,61,-2.33893901e-06,-2.64152389e-05
crossover,phase-interpolation,48000,129,1024,16,85,23,62,-1.47032981e-06,-1.66054408e-05
