target,regime,sample_rate_hz,taps,fft_size,requested_delay,minimum_phase_delay,phase_mix,predicted_delay,iterations,relative_magnitude_error,rms_magnitude_error_db,max_magnitude_error_db,mean_group_delay,group_delay_ripple
steep-crossover,sub-minimum,48000,129,1024,12.3424028,49.3696112,,,320,0.574863007,69.1910181,85.489038,12.3424444,222.097974
steep-crossover,sub-minimum,48000,129,1024,24.6848056,49.3696112,,,320,0.405151652,73.6339107,89.2546974,24.6849616,55.6419577
steep-crossover,sub-minimum,48000,129,1024,37.0272084,49.3696112,,,320,0.00482230072,48.1914509,59.3582406,37.0272084,4.97095634
steep-crossover,window,48000,129,1024,49.3696112,49.3696112,0,49.3696112,0,0.0122688845,54.9336354,66.470457,49.3696112,4.26932064
steep-crossover,window,48000,129,1024,51.1984098,49.3696112,0.125,51.1984098,0,0.0129605028,54.8245283,67.5549724,51.2041358,3.75884267
steep-crossover,window,48000,129,1024,53.0272084,49.3696112,0.25,53.0272084,0,0.0135880335,54.4833723,67.7900165,53.0365703,3.23457014
steep-crossover,window,48000,129,1024,54.856007,49.3696112,0.375,54.856007,0,0.0140485857,53.8833254,67.3867097,54.8670117,2.70210051
steep-crossover,window,48000,129,1024,56.6848056,49.3696112,0.5,56.6848056,0,0.0143908484,52.9877815,66.4066848,56.6956988,2.16489372
steep-crossover,window,48000,129,1024,58.5136042,49.3696112,0.625,58.5136042,0,0.0146995348,51.7408038,64.7700747,58.5229707,1.62507843
steep-crossover,window,48000,129,1024,60.3424028,49.3696112,0.75,60.3424028,0,0.0150125359,50.0528631,62.9728376,60.349203,1.08390748
steep-crossover,window,48000,129,1024,62.1712014,49.3696112,0.875,62.1712014,0,0.0152827357,47.7860941,62.1000592,62.1747646,0.542083397
steep-crossover,window,48000,129,1024,64,49.3696112,1,64,0,0.0153970423,45.1015079,61.828118,64,2.27737743e-14
steep-crossover,window,48000,129,1024,65.8287986,49.3696112,1.125,65.8287986,0,0.0152827357,47.7860941,62.1000592,65.8252354,0.542083397
steep-crossover,window,48000,129,1024,67.6575972,49.3696112,1.25,67.6575972,0,0.0150125359,50.0528631,62.9728376,67.650797,1.08390748
steep-crossover,window,48000,129,1024,69.4863958,49.3696112,1.375,69.4863958,0,0.0146995348,51.7408038,64.7700747,69.4770293,1.62507843
steep-crossover,window,48000,129,1024,71.3151944,49.3696112,1.5,71.3151944,0,0.0143908484,52.9877815,66.4066848,71.3043012,2.16489372
steep-crossover,window,48000,129,1024,73.143993,49.3696112,1.625,73.143993,0,0.0140485857,53.8833254,67.3867097,73.1329883,2.70210051
steep-crossover,window,48000,129,1024,74.9727916,49.3696112,1.75,74.9727916,0,0.0135880335,54.4833723,67.7900165,74.9634297,3.23457014
steep-crossover,window,48000,129,1024,76.8015902,49.3696112,1.875,76.8015902,0,0.0129605028,54.8245283,67.5549724,76.7958642,3.75884267
steep-crossover,window,48000,129,1024,78.6303888,49.3696112,2,78.6303888,0,0.0122688845,54.9336354,66.470457,78.6303888,4.26932064
steep-crossover,super-maximum,48000,129,1024,90.9727916,49.3696112,,,320,0.00482230072,48.1914509,59.3582406,90.9727916,4.97095634
steep-crossover,super-maximum,48000,129,1024,103.315194,49.3696112,,,320,0.402057408,72.9461307,87.1367581,103.315209,58.1370539
steep-crossover,super-maximum,48000,129,1024,115.657597,49.3696112,,,320,0.433409061,72.6530881,89.3989798,115.656673,225.048593
